,Unnamed: 0,Elapsed Time,Date,System UTC Time,Time,Groundspeed,Airspeed(Ind),Airspeed(True),Fuel Weight,Gross Weight,Fuel Flow-[0],Fuel Flow-[1],Fuel Pressure-[0],Fuel Pressure-[1],Oil Pressure-[0],Oil Pressure-[1],Oil Temp,Engine Temp-[0],Engine Temp-[1],Engine Torque (N1),Engine Torque (N2),Engine speeds (N1)-[0],Engine speeds (N1)-[1],Engine speeds (N2)-[0],Engine speeds (N2)-[1],Engine speeds (NP2)-[0],Engine speeds (NP2)-[1],Engine speeds (NP1)-[0],Engine speeds (NP1)-[1],Rotor RPM-[0],Rotor RPM Value-[0],Rotor RPM Value-[1],Rotor Torque-[0],T5 Temp ITT-[0],T5 Temp ITT-[1],Unnamed: 34,image_path
0,5394,950.852,01/01/2022,18:46:19.6,1034.083 ,208.893 ,105,208.893 ,913.999 ,9106.892 ,0.068 ,0.068 ,30.000 ,30.000 ,112.608 ,112.608 ,32.000 ,1073.979 ,1073.979 ,0.000 ,0.000 ,91.939 ,91.939 ,99.809 ,99.809 ,106.796 ,106.796 ,106.796 ,106.796 ,106.796 ,32.715 ,192.439 ,42.932 ,578.877 ,578.877 ,,1_2022-01-01 13-30-31.mp4.jpeg
1,5398,951.550,01/01/2022,18:46:20.3,1034.780 ,209.998 ,106,209.998 ,913.999 ,9106.892 ,0.069 ,0.069 ,30.000 ,30.000 ,112.714 ,112.714 ,32.000 ,1080.383 ,1080.383 ,0.000 ,0.000 ,92.285 ,92.285 ,99.806 ,99.806 ,106.793 ,106.793 ,106.793 ,106.793 ,106.793 ,32.714 ,192.434 ,44.157 ,582.435 ,582.435 ,,3_2022-01-01 13-30-31.mp4.jpeg
2,5404,952.584,01/01/2022,18:46:21.3,1035.814 ,211.756 ,107,211.756 ,913.999 ,9106.892 ,0.071 ,0.071 ,30.000 ,30.000 ,112.852 ,112.852 ,32.000 ,1089.129 ,1089.129 ,0.000 ,0.000 ,92.738 ,92.738 ,99.837 ,99.837 ,106.825 ,106.825 ,106.825 ,106.825 ,106.825 ,32.724 ,192.493 ,45.814 ,587.294 ,587.294 ,,6_2022-01-01 13-30-31.mp4.jpeg
3,5407,953.104,01/01/2022,18:46:21.9,1036.335 ,212.697 ,107,212.697 ,913.999 ,9106.892 ,0.072 ,0.072 ,30.000 ,30.000 ,112.916 ,112.916 ,32.000 ,1093.249 ,1093.249 ,0.000 ,0.000 ,92.949 ,92.949 ,99.832 ,99.832 ,106.820 ,106.820 ,106.820 ,106.820 ,106.820 ,32.722 ,192.483 ,46.629 ,589.583 ,589.583 ,,8_2022-01-01 13-30-31.mp4.jpeg
4,5411,953.811,01/01/2022,18:46:22.6,1037.041 ,214.027 ,108,214.027 ,913.999 ,9106.892 ,0.073 ,0.073 ,30.000 ,30.000 ,113.007 ,113.007 ,32.000 ,1099.116 ,1099.116 ,0.000 ,0.000 ,93.248 ,93.248 ,99.838 ,99.838 ,106.827 ,106.827 ,106.827 ,106.827 ,106.827 ,32.725 ,192.498 ,47.744 ,592.842 ,592.842 ,,10_2022-01-01 13-30-31.mp4.jpeg
5,5413,954.153,01/01/2022,18:46:22.9,1037.383 ,214.683 ,108,214.683 ,913.999 ,9106.892 ,0.074 ,0.074 ,30.000 ,30.000 ,113.044 ,113.044 ,32.000 ,1101.619 ,1101.619 ,0.000 ,0.000 ,93.370 ,93.370 ,99.858 ,99.858 ,106.848 ,106.848 ,106.848 ,106.848 ,106.848 ,32.731 ,192.535 ,48.198 ,594.233 ,594.233 ,,11_2022-01-01 13-30-31.mp4.jpeg
6,5415,954.503,01/01/2022,18:46:23.3,1037.734 ,215.370 ,108,215.370 ,913.999 ,9106.892 ,0.074 ,0.074 ,30.000 ,30.000 ,113.075 ,113.075 ,32.000 ,1103.821 ,1103.821 ,0.000 ,0.000 ,93.473 ,93.473 ,99.883 ,99.883 ,106.874 ,106.874 ,106.874 ,106.874 ,106.874 ,32.739 ,192.583 ,48.587 ,595.456 ,595.456 ,,12_2022-01-01 13-30-31.mp4.jpeg
7,5417,954.855,01/01/2022,18:46:23.6,1038.086 ,216.057 ,109,216.057 ,913.999 ,9106.892 ,0.074 ,0.074 ,30.000 ,30.000 ,113.099 ,113.099 ,32.000 ,1105.570 ,1105.570 ,0.000 ,0.000 ,93.552 ,93.552 ,99.907 ,99.907 ,106.901 ,106.901 ,106.901 ,106.901 ,106.901 ,32.747 ,192.631 ,48.883 ,596.428 ,596.428 ,,13_2022-01-01 13-30-31.mp4.jpeg
8,5421,955.547,01/01/2022,18:46:24.3,1038.777 ,217.404 ,109,217.404 ,913.999 ,9106.892 ,0.075 ,0.075 ,30.000 ,30.000 ,113.121 ,113.121 ,32.000 ,1107.421 ,1107.421 ,0.000 ,0.000 ,93.622 ,93.622 ,99.974 ,99.974 ,106.972 ,106.972 ,106.972 ,106.972 ,106.972 ,32.769 ,192.761 ,49.123 ,597.456 ,597.456 ,,15_2022-01-01 13-30-31.mp4.jpeg
9,5428,956.795,01/01/2022,18:46:25.6,1040.026 ,219.726 ,111,219.726 ,913.999 ,9106.892 ,0.074 ,0.074 ,30.000 ,30.000 ,113.084 ,113.084 ,32.000 ,1105.633 ,1105.633 ,0.000 ,0.000 ,93.500 ,93.500 ,100.078 ,100.078 ,107.084 ,107.084 ,107.084 ,107.084 ,107.084 ,32.803 ,192.961 ,48.645 ,596.463 ,596.463 ,,19_2022-01-01 13-30-31.mp4.jpeg
